,Player,position,height,weight,country,draft_year,draft_number,conference,division,team
3992,Isaac Stallworth,G-C,1.96,85.5,USA,1972,7,West,Northwest,Utah Jazz
3993,Dave Stallworth,G-C,2.01,90.0,USA,1965,3,East,Atlantic,New York Knicks
3994,Cassius Stanley,G,1.96,85.5,USA,2020,54,East,Central,Detroit Pistons
3995,Terence Stansbury,G-C,1.96,76.5,USA,1984,15,East,Central,Indiana Pacers
3996,John Starks,G-C,1.96,85.5,USA,undrafted,undrafted,East,Atlantic,New York Knicks
3997,Keith Starr,G-C,1.98,85.5,USA,1976,52,East,Central,Chicago Bulls
3998,Nik Stauskas,G,1.98,93.15,Canada,2014,8,East,Atlantic,Boston Celtics
3999,Larry Staverman,G-C,2.01,92.25,USA,1958,64,West,Pacific,Sacramento Kings
4000,Larry Steele,G-C,1.96,81.0,USA,1971,37,West,Northwest,Portland Trail Blazers
4001,Matt Steigenga,G-C,2.01,101.25,USA,1992,52,East,Central,Chicago Bulls
4002,Vladimir Stepania,G-C,2.16,114.75,Georgia,1998,27,East,Southeast,Miami Heat
4003,Jack Stephens,G-C,1.9,83.25,USA,1955,7,East,Southeast,Atlanta Hawks
